id,text,category
1017,"Privacy Policy <br> <br> Sci-News.com is committed to protecting and respecting your privacy. To better inform you of our policy concerning user privacy, we have adopted the following terms. Please note that these terms are subject to change, and any such changes will be included on this page. <br> <br>",Other
1017,"Information that Sci-News.com May Collect Online <br> <br> Sci-News.com may collect and process the following data about you: <br> <br> - information that you provide by filling in forms on our site, including names, e-mail and website addresses; we may also ask you for information for other purposes, for example when you report a problem with our site; <br> <br>",First Party Collection/Use
1017,"- if you contact us, we may keep a record of that correspondence; <br> <br>",Data Retention
1017,"- details of your visits to our site including, but not limited to, traffic data, location data, weblogs and other communication data. <br> <br>",First Party Collection/Use
1017,Sci-News.com does not knowingly collect or solicit personal information from anyone under the age of 13. We assume that minors 13 years of age or older have received permission from their parents or guardians before using this website. Parents or guardians may contact us at privacy@sci-news.com with questions or concerns about our privacy policy. <br> <br>,International and Specific Audiences
1017,"Use of Cookies <br> <br> Sci-News.com uses cookie technology. A cookie is a small amount of data, which often includes a unique identifier that is sent to your computer or mobile phone browser from a websites computer and is stored on your devices hard drive. A website can send its own cookie to your browser if your browsers preferences allow it, but your browser only permits a website to access the cookies it has already sent to you, not the cookies sent to you by other websites. Many websites do this whenever a user visits their website in order to track online traffic flows. <br> <br>",First Party Collection/Use
1017,"During the course of any visit to the Sci-News.com website, the pages you see, along with a cookie, are downloaded to your device. A website does this because cookies enable a publisher to find out whether the device has visited the website before. This is done on a repeat visit by checking to see, and finding, the cookie left there on the last visit. <br> <br>",First Party Collection/Use
1017,Please note that during or after your visits to the Sci-News.com website you may notice some cookies that are not related to it. Sci-News.com does not control the dissemination of these cookies. You must check the third party websites for more information about these. <br> <br>,Third Party Sharing/Collection
1017,"You may refuse to accept cookies by activating the setting on your browser which allows you to refuse the setting of cookies. However, if you select this setting you may be unable to access certain parts of the site. <br> <br>",User Choice/Control
1017,"Disclosure of Your Information <br> <br> Sci-News.com does not sell, trade or rent your personal information to third parties. If we choose to do so in the future, you will be notified by email of our intentions, and have the right to be removed prior to the disclosure. <br> <br>",Third Party Sharing/Collection
1017,"Your Consent and Rights <br> <br> By using Sci-News.com, you consent to the collection and use, in accordance with this policy, of the information you provide to us. <br> <br>",Other
1017,We will remove you and your personally identifiable information from our records on request if you contact us with your request at privacy@sci-news.com. <br> <br>,Other
1017,"Contact Us <br> <br> If you have any inquiries about this Privacy Policy or its implementation, you may contact us at privacy@sci-news.com.",Other
1028,"RedOrbit, Inc. Privacy Statement <br> <br>",Other
1028,"This privacy statement covers the site new.www.redorbit.com. Because this Web site wants to demonstrate its commitment to our users' privacy, it has agreed to disclose its information practices. <br> <br> What personally identifiable information RedOrbit, Inc. collects. <br> What personally identifiable information third parties collect through the Web site. <br> What organization collects the information. <br> How RedOrbit, Inc. uses the information. <br> With whom RedOrbit, Inc. may share user information. <br> What choices are available to users regarding collection, use and distribution of the information. <br> What types of security procedures are in place to protect the loss, misuse or alteration of information under RedOrbit, Inc. control. <br> How users can correct any inaccuracies in the information. <br>",Other
1028,"<strong> Information Collection and Use </strong> <br> <br> Information Collection <br> <br> RedOrbit, Inc. is the sole owner of the information collected on RedOrbit.com. RedOrbit, Inc. collects information from our users at several different points on our Web site. <br> <br>",Other
1028,"Registration <br> <br> In order to use this Web site, a user must first complete the registration form. During registration a user is required to give contact information (such as name and email address). We use this information to contact the user about services on our site for which he has expressed interest. It is optional for the user to provide demographic information (such as income level and gender), and unique identifiers (such as, username and password), but encouraged so we can provide a more personalized experience on our site. <br> <br>",First Party Collection/Use
1028,"Order <br> <br> We request information from the user on our order form. A user must provide contact information (such as name, email, and shipping address) and financial information (such as credit card number, expiration date). This information is used for billing purposes and to fill customer's orders. If we have trouble processing an order, the information is used to contact the user. <br> <br>",First Party Collection/Use
